"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"220","SR Tendulkar",NA,"143","182","13","1","78.57","2","Bangladesh","Test","Dhaka","2010-01-24","",""
"221","CA Pujara",NA,"143","362","14","0","39.50","2","Sri Lanka","Test","Nagpur","2017-11-24","",""
"222","RJ Shastri",NA,"142","323","17","1","43.96","2","England","Test","Mumbai","1984-11-28","",""
"223","SR Tendulkar",NA,"142","224","22","0","63.39","1","Sri Lanka","Test","Lucknow","1994-01-18","",""
"224","SC Ganguly",NA,"141","142","11","6","99.29","1","South Africa","ODI","Nairobi (Gym)","2000-10-13","",""
"225","SR Tendulkar",NA,"141","148","13","5","95.27","1","West Indies","ODI","Kuala Lumpur","2006-09-14","",""
"226","RG Sharma",NA,"141","123","17","4","114.63","2","Australia","ODI","Jaipur","2013-10-16","",""
"227","M Azharuddin",NA,"141","-","11","0","-","1","Pakistan","Test","Kolkata","1987-02-11","",""
"228","SR Tendulkar",NA,"141","128","13","3","110.15","1","Australia","ODI","Dhaka","1998-10-28","",""
"229","SC Ganguly",NA,"141","144","12","1","97.91","1","Pakistan","ODI","Adelaide","2000-01-25","",""
"230","SR Tendulkar",NA,"141","135","17","1","104.44","2","Pakistan","ODI","Rawalpindi","2004-03-16","",""
"231","V Kohli",NA,"141","175","16","1","80.57","4","Australia","Test","Adelaide","2014-12-09","",""
"232","SR Tendulkar",NA,"140","101","16","3","138.61","1","Kenya","ODI","Bristol","1999-05-23","",""
"233","P Roy",NA,"140","-","20","0","-","1","England","Test","Mumbai (BS)","1951-12-14","",""
"234","Yashpal Sharma",NA,"140","298","18","2","46.97","1","England","Test","Chennai","1982-01-13","",""
"235","VVS Laxman",NA,"140","221","21","0","63.34","2","Zimbabwe","Test","Bulawayo","2005-09-13","",""
"236","V Kohli",NA,"140","107","21","2","130.84","2","West Indies","ODI","Guwahati","2018-10-21","",""
"237","MS Dhoni",NA,"139","121","12","5","114.87","1","Australia","ODI","Mohali","2013-10-19","",""
"238","V Kohli",NA,"139","126","12","3","110.31","2","Sri Lanka","ODI","Ranchi","2014-11-16","",""
"239","GR Viswanath",NA,"139","263","23","0","52.85","3","West Indies","Test","Kolkata","1974-12-27","",""
"240","RJ Shastri",NA,"139","270","16","2","51.48","1","Pakistan","Test","Faisalabad","1984-10-24","",""
"241","SR Tendulkar",NA,"139","266","16","0","52.25","2","Sri Lanka","Test","Colombo (SSC)","1997-08-09","",""
"242","SC Ganguly",NA,"139","147","11","5","94.55","1","Zimbabwe","ODI","Nairobi (Gym)","1999-10-01","",""
"243","SR Tendulkar",NA,"139","125","19","0","111.20","1","Australia","ODI","Indore","2001-03-31","",""
"244","Yuvraj Singh",NA,"139","122","16","2","113.93","1","Australia","ODI","Sydney","2004-01-22","",""
"245","G Gambhir",NA,"139","196","19","0","70.91","1","Bangladesh","Test","Chittagong","2004-12-17","",""
"246","M Vijay",NA,"139","310","14","2","44.83","2","Australia","Test","Bengaluru","2010-10-09","",""
"247","V Kohli",NA,"139","230","10","0","60.43","1","West Indies","Test","Rajkot","2018-10-04","",""
"248","W Jaffer",NA,"138","229","17","0","60.26","1","Bangladesh","Test","Dhaka","2007-05-25","",""
"249","Yuvraj Singh",NA,"138","78","16","6","176.92","1","England","ODI","Rajkot","2008-11-14","",""
"250","G Gambhir",NA,"138","116","18","0","118.96","2","New Zealand","ODI","Jaipur","2010-12-01","",""
"251","M Amarnath",NA,"138","312","10","0","44.23","1","Australia","Test","Sydney","1986-01-02","",""
"252","SR Tendulkar",NA,"138","133","10","1","103.75","1","Sri Lanka","ODI","Colombo (RPS)","2009-09-14","",""
"253","RG Sharma",NA,"138","139","9","4","99.28","1","Australia","ODI","Melbourne","2015-01-18","",""
"254","V Kohli",NA,"138","140","6","5","98.57","1","South Africa","ODI","Chennai","2015-10-22","",""
"255","RG Sharma",NA,"137","114","15","4","120.17","2","England","ODI","Nottingham","2018-07-12","",""
"256","GR Viswanath",NA,"137","-","25","0","-","3","Australia","Test","Kanpur","1969-11-15","",""
"257","SM Gavaskar",NA,"137","240","20","0","57.08","3","Pakistan","Test","Karachi","1978-11-14","",""
